date,platform,campaign,event,driver,country,city,age_group,gender,followers,reach,engagement,likes,comments,shares,saves,profile_visits,website_clicks
2026-03-11,Instagram,TV,TV Appearance,TV appearance,DE,Munich,65+,Undisclosed,139149,696560,4.9,33430,1293,846,1563,9767,2762
2026-03-16,Instagram,TV,TV Appearance,TV appearance,AT,Vienna,25-34,Female,139149,696560,5.2,37557,1750,877,1784,6164,1047
2026-03-16,Instagram,TV,TV Appearance,TV appearance,AT,Graz,65+,Undisclosed,139149,696560,5.4,36157,2124,1025,1387,9079,2049
2026-03-16,Instagram,TV,TV Appearance,TV appearance,CH,Zurich,45-54,Female,139149,696560,5.2,34475,1430,644,1349,9306,2123
2026-03-16,Instagram,TV,TV Appearance,TV appearance,NL,Amsterdam,25-34,Male,139149,696560,5.0,37802,1544,757,1768,5965,1029
2026-03-21,Instagram,TV,TV Appearance,TV appearance,AT,Vienna,65+,Female,139149,696560,5.2,28757,1299,665,933,6580,1401
2026-03-21,Instagram,TV,TV Appearance,TV appearance,CH,Basel,65+,Female,139149,696560,5.3,38528,1714,581,1177,9246,2570
2026-03-21,Instagram,TV,TV Appearance,TV appearance,AT,Vienna,55-64,Undisclosed,139149,696560,5.2,39005,2240,870,1099,7940,1654
2026-03-21,Instagram,TV,TV Appearance,TV appearance,NL,Amsterdam,65+,Male,139149,696560,5.2,39571,2294,1175,1425,9994,2386
2026-03-26,Instagram,TV,TV Appearance,TV appearance,NL,Amsterdam,18-24,Female,139149,696560,5.1,29752,1384,468,933,6604,1314
2026-03-26,Instagram,TV,TV Appearance,TV appearance,AT,Vienna,35-44,Male,139149,696560,4.8,29003,1029,669,1450,7278,1801
2026-03-26,Instagram,TV,TV Appearance,TV appearance,NL,Amsterdam,18-24,Female,139149,696560,5.3,30639,1087,529,728,8836,2072
2026-03-26,Instagram,TV,TV Appearance,TV appearance,DE,Munich,45-54,Undisclosed,139149,696560,4.8,33001,1654,972,1371,9364,1634
2026-03-31,Instagram,TV,TV Appearance,TV appearance,DE,Leipzig,18-24,Undisclosed,139149,696560,4.7,32208,1672,946,1027,9058,1461
2026-03-31,Instagram,TV,TV Appearance,TV appearance,DK,Copenhagen,65+,Female,139149,696560,4.7,38623,2172,927,912,10369,2772
2026-03-31,Instagram,TV,TV Appearance,TV appearance,DE,Frankfurt,55-64,Male,139149,696560,5.1,28823,1475,437,939,7962,1712
2026-03-31,Instagram,TV,TV Appearance,TV appearance,DE,Frankfurt,65+,Male,139149,696560,5.2,33929,1809,1000,953,9513,2194
2026-04-05,Instagram,TV,TV Appearance,TV appearance,AT,Graz,45-54,Male,139149,696560,5.2,36116,1555,674,1734,6932,1508
2026-04-05,Instagram,TV,TV Appearance,TV appearance,AT,Graz,55-64,Undisclosed,139149,696560,5.1,32548,1541,646,1127,7302,1378
2026-04-05,Instagram,Release,Release Week,Release week,DE,Leipzig,55-64,Undisclosed,145912,779221,5.1,34146,1401,720,1251,7544,1670
2026-04-05,Instagram,Release,Release Week,Release week,DK,Copenhagen,45-54,Male,145912,779221,5.3,32619,1322,827,952,9405,2078
2026-04-10,Instagram,Release,Release Week,Release week,CH,Zurich,35-44,Male,145912,779221,5.4,39746,1740,866,1160,7491,1934
2026-04-10,Instagram,Release,Release Week,Release week,DE,Frankfurt,18-24,Undisclosed,145912,779221,5.1,43047,1705,785,1486,10186,3020
2026-04-10,Instagram,Release,Release Week,Release week,CH,Zurich,55-64,Male,145912,779221,5.4,44144,1871,901,1283,10095,1705
2026-04-10,Instagram,Release,Release Week,Release week,DE,Berlin,18-24,Undisclosed,145912,779221,4.9,45881,2337,1206,1058,6300,1213
2026-04-15,Instagram,Release,Release Week,Release week,AT,Graz,45-54,Male,145912,779221,4.9,31969,1871,708,1427,8419,1356
2026-04-15,Instagram,Release,Release Week,Release week,NL,Amsterdam,65+,Female,145912,779221,4.8,43810,2572,713,1202,9277,1970
2026-04-15,Instagram,Release,Release Week,Release week,CH,Basel,55-64,Female,145912,779221,5.3,37096,2140,721,1396,8572,2016
2026-04-15,Instagram,Release,Release Week,Release week,DE,Berlin,55-64,Undisclosed,145912,779221,4.8,43055,2180,816,965,7542,1755
2026-04-20,Instagram,Release,Release Week,Release week,DE,Cologne,18-24,Male,145912,779221,5.1,40423,1709,746,1665,10068,2195
2026-04-20,Instagram,Release,Release Week,Release week,NL,Amsterdam,25-34,Male,145912,779221,5.3,40910,2108,1186,1339,9204,2274
2026-04-20,Instagram,Release,Release Week,Release week,DE,Leipzig,25-34,Female,145912,779221,4.8,43521,2170,1190,2073,8629,1901
2026-04-20,Instagram,Release,Release Week,Release week,DE,Leipzig,65+,Male,145912,779221,5.4,38968,1844,631,825,8590,1703
2026-04-25,Instagram,Release,Release Week,Release week,DE,Leipzig,18-24,Female,145912,779221,4.9,41677,2355,992,859,10405,2842
2026-04-25,Instagram,Release,Release Week,Release week,CH,Basel,18-24,Female,145912,779221,5.1,41322,2392,732,1552,9696,2169
2026-04-25,Instagram,Release,Release Week,Release week,DE,Hamburg,45-54,Male,145912,779221,5.0,36172,1360,629,1170,8936,2228
2026-04-25,Instagram,Release,Release Week,Release week,AT,Vienna,55-64,Female,145912,779221,5.1,36070,1553,1065,1158,9040,2695
2026-04-30,Instagram,Release,Release Week,Release week,NL,Amsterdam,55-64,Male,145912,779221,5.0,34092,1501,898,1321,10379,1873
2026-04-30,Instagram,Release,Release Week,Release week,CH,Zurich,25-34,Male,145912,779221,5.1,42050,1599,1244,1609,7539,1309
2026-04-30,Instagram,Release,Release Week,Release week,CH,Zurich,18-24,Undisclosed,145912,779221,5.0,34670,1942,579,1678,9766,1690
2026-04-30,Instagram,Release,Release Week,Release week,DK,Copenhagen,35-44,Undisclosed,145912,779221,5.2,37644,1771,831,1268,7022,1254
2026-05-05,Instagram,PR,Press Coverage,Press coverage,CH,Basel,55-64,Undisclosed,151530,877521,5.0,48965,2221,1420,1725,12060,2320
2026-05-05,Instagram,PR,Press Coverage,Press coverage,DE,Leipzig,55-64,Undisclosed,151530,877521,5.5,43694,1691,1008,1326,10410,2410
2026-05-05,Instagram,PR,Press Coverage,Press coverage,AT,Graz,35-44,Female,151530,877521,5.5,39291,1751,1093,1270,8974,1982
2026-05-05,Instagram,PR,Press Coverage,Press coverage,AT,Vienna,45-54,Undisclosed,151530,877521,5.4,46544,1806,1371,1107,12949,2587
2026-05-10,Instagram,PR,Press Coverage,Press coverage,DE,Hamburg,45-54,Female,151530,877521,5.2,43120,2287,911,1709,7968,1756
2026-05-10,Instagram,PR,Press Coverage,Press coverage,DE,Leipzig,35-44,Undisclosed,151530,877521,5.3,46505,2617,1292,2129,9354,1847
2026-05-10,Instagram,PR,Press Coverage,Press coverage,DK,Copenhagen,45-54,Undisclosed,151530,877521,4.8,36301,1843,1045,1812,11607,2496
2026-05-10,Instagram,PR,Press Coverage,Press coverage,DE,Hamburg,65+,Undisclosed,151530,877521,5.4,42887,2245,1224,916,11910,2310
2026-05-15,Instagram,PR,Press Coverage,Press coverage,DE,Frankfurt,45-54,Female,151530,877521,5.0,42332,2203,749,1068,10764,2232
2026-05-15,Instagram,PR,Press Coverage,Press coverage,NL,Amsterdam,25-34,Male,151530,877521,5.4,37612,1750,707,1040,7077,1915
2026-05-15,Instagram,PR,Press Coverage,Press coverage,DE,Leipzig,65+,Undisclosed,151530,877521,4.9,42853,1870,1020,1678,9626,1805
2026-05-15,Instagram,PR,Press Coverage,Press coverage,DE,Leipzig,25-34,Male,151530,877521,5.4,36972,1646,753,1067,11315,1734
2026-05-20,Instagram,PR,Press Coverage,Press coverage,NL,Amsterdam,45-54,Male,151530,877521,4.8,50283,2738,1488,2379,11597,3188
2026-05-20,Instagram,PR,Press Coverage,Press coverage,DE,Leipzig,25-34,Undisclosed,151530,877521,5.4,38944,1548,730,1661,11734,2958
2026-05-20,Instagram,PR,Press Coverage,Press coverage,DE,Cologne,65+,Female,151530,877521,5.4,46444,1984,1003,1736,11518,1883
2026-05-20,Instagram,PR,Press Coverage,Press coverage,DE,Leipzig,35-44,Undisclosed,151530,877521,5.1,38624,2111,1087,1196,10102,1928
2026-05-25,Instagram,PR,Press Coverage,Press coverage,DE,Cologne,35-44,Male,151530,877521,5.5,40280,2286,1090,1371,7482,1968
2026-05-25,Instagram,PR,Press Coverage,Press coverage,DE,Munich,65+,Undisclosed,151530,877521,5.3,42075,2362,982,955,9443,1791
2026-05-25,Instagram,PR,Press Coverage,Press coverage,DE,Hamburg,45-54,Male,151530,877521,5.3,46900,2326,1282,2260,7685,1422
2026-05-25,Instagram,PR,Press Coverage,Press coverage,DE,Berlin,55-64,Undisclosed,151530,877521,5.0,45808,2344,1123,1554,11326,2801
2026-05-30,Instagram,PR,Press Coverage,Press coverage,DE,Hamburg,25-34,Female,151530,877521,5.5,40442,1913,665,1885,7853,1712
2026-05-30,Instagram,PR,Press Coverage,Press coverage,NL,Amsterdam,65+,Undisclosed,151530,877521,5.5,42456,2273,735,1377,7628,1704
2026-05-30,Instagram,Campaign,Campaign Phase,Campaign phase,AT,Vienna,35-44,Female,159065,1014476,5.2,59865,3375,987,2428,11982,3554
2026-05-30,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Frankfurt,18-24,Male,159065,1014476,5.1,60223,3536,1647,1370,9622,2366
2026-06-04,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Berlin,18-24,Male,159065,1014476,5.1,43133,2118,691,1852,9586,1748
2026-06-04,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Munich,35-44,Female,159065,1014476,5.4,52671,2208,1567,2613,11952,3224
2026-06-04,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Hamburg,65+,Female,159065,1014476,5.0,47847,2617,1140,979,10000,1690
2026-06-04,Instagram,Campaign,Campaign Phase,Campaign phase,AT,Vienna,55-64,Female,159065,1014476,5.4,50241,2735,1140,1169,11693,3412
2026-06-09,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Berlin,65+,Undisclosed,159065,1014476,5.3,49872,2947,793,1714,10967,2773
2026-06-09,Instagram,Campaign,Campaign Phase,Campaign phase,AT,Graz,65+,Male,159065,1014476,4.9,42218,2119,674,1192,12611,2928
2026-06-09,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Frankfurt,45-54,Undisclosed,159065,1014476,5.3,49784,2495,820,2043,14171,3509
2026-06-09,Instagram,Campaign,Campaign Phase,Campaign phase,CH,Zurich,65+,Female,159065,1014476,5.2,58597,2657,1606,1872,13297,2617
2026-06-14,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Frankfurt,65+,Male,159065,1014476,5.2,43676,2536,699,1963,8777,1443
2026-06-14,Instagram,Campaign,Campaign Phase,Campaign phase,DK,Copenhagen,35-44,Female,159065,1014476,5.3,52478,2573,1046,1241,10626,2654
2026-06-14,Instagram,Campaign,Campaign Phase,Campaign phase,AT,Vienna,65+,Female,159065,1014476,5.6,52761,2310,1248,1391,12779,2346
2026-06-14,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Hamburg,35-44,Undisclosed,159065,1014476,5.1,56051,2766,1519,2542,15036,4101
2026-06-19,Instagram,Campaign,Campaign Phase,Campaign phase,CH,Basel,65+,Undisclosed,159065,1014476,5.3,52935,2723,1344,1104,10056,2658
2026-06-19,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Frankfurt,35-44,Female,159065,1014476,5.0,43485,2236,697,1836,15016,2459
2026-06-19,Instagram,Campaign,Campaign Phase,Campaign phase,CH,Zurich,25-34,Male,159065,1014476,5.2,47495,2101,1226,2056,12146,1976
2026-06-19,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Berlin,25-34,Female,159065,1014476,5.4,41588,1540,900,1360,12426,2635
2026-06-24,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Munich,55-64,Female,159065,1014476,5.1,42828,2225,1023,1533,10305,1886
2026-06-24,Instagram,Campaign,Campaign Phase,Campaign phase,CH,Basel,18-24,Female,159065,1014476,5.0,59759,3237,1581,1714,8967,2014
2026-06-24,Instagram,Campaign,Campaign Phase,Campaign phase,AT,Vienna,25-34,Female,159065,1014476,5.2,54856,2606,1508,2423,8627,2409
2026-06-24,Instagram,Campaign,Campaign Phase,Campaign phase,DE,Berlin,45-54,Female,159065,1014476,5.2,42158,1805,903,1354,12661,2448
2026-06-29,Instagram,Campaign,Viral Post,Viral post,AT,Vienna,18-24,Male,164972,1215087,5.5,70955,2639,1963,1937,14729,3366
2026-06-29,Instagram,Campaign,Viral Post,Viral post,AT,Vienna,35-44,Undisclosed,164972,1215087,5.2,56697,2222,1284,1327,14058,4019
2026-06-29,Instagram,Campaign,Viral Post,Viral post,DE,Frankfurt,35-44,Undisclosed,164972,1215087,5.6,64288,2487,1063,1779,11196,1936
2026-06-29,Instagram,Campaign,Viral Post,Viral post,NL,Amsterdam,18-24,Female,164972,1215087,5.6,63863,2975,1497,2387,15514,4379
2026-07-04,Instagram,Campaign,Viral Post,Viral post,NL,Amsterdam,65+,Undisclosed,164972,1215087,5.2,72199,3097,1559,2459,15091,4066
2026-07-04,Instagram,Campaign,Viral Post,Viral post,CH,Basel,18-24,Male,164972,1215087,5.3,56146,2599,890,2523,10373,2900
2026-07-04,Instagram,Campaign,Viral Post,Viral post,DE,Hamburg,55-64,Undisclosed,164972,1215087,5.3,59848,2924,1608,2805,13545,3677
2026-07-04,Instagram,Campaign,Viral Post,Viral post,NL,Amsterdam,25-34,Male,164972,1215087,5.4,60787,3582,1322,2694,16843,5008
2026-07-09,Instagram,Campaign,Viral Post,Viral post,DE,Hamburg,55-64,Undisclosed,164972,1215087,5.1,54624,2509,1179,1949,11070,2279
2026-07-09,Instagram,Campaign,Viral Post,Viral post,DE,Leipzig,45-54,Male,164972,1215087,5.5,65101,2363,1592,1955,12524,2926
2026-07-09,Instagram,Campaign,Viral Post,Viral post,AT,Vienna,35-44,Male,164972,1215087,5.5,64559,3722,1814,1936,14677,2512
2026-07-09,Instagram,Campaign,Viral Post,Viral post,DE,Frankfurt,35-44,Undisclosed,164972,1215087,5.4,58128,2899,1689,1702,12924,3473
2026-07-14,Instagram,Campaign,Viral Post,Viral post,DE,Cologne,65+,Undisclosed,164972,1215087,5.5,66556,3469,1523,2621,13322,2721
2026-07-14,Instagram,Campaign,Viral Post,Viral post,DE,Frankfurt,35-44,Female,164972,1215087,5.6,56908,3081,1017,2845,11038,2145
2026-07-14,Instagram,Campaign,Viral Post,Viral post,DE,Hamburg,55-64,Undisclosed,164972,1215087,5.5,70078,2518,1405,3012,10835,2237
2026-07-14,Instagram,Campaign,Viral Post,Viral post,DE,Cologne,25-34,Undisclosed,164972,1215087,5.5,68264,2671,1472,2206,15473,2872
2026-07-19,Instagram,Campaign,Viral Post,Viral post,AT,Graz,55-64,Male,164972,1215087,5.5,67651,2763,1257,3312,16392,4681
2026-07-19,Instagram,Campaign,Viral Post,Viral post,DE,Munich,35-44,Undisclosed,164972,1215087,5.6,72527,3375,1394,2281,14207,4190
2026-07-19,Instagram,Campaign,Viral Post,Viral post,DE,Munich,55-64,Female,164972,1215087,5.6,49871,2344,1025,2395,15771,3586
2026-07-19,Instagram,Campaign,Viral Post,Viral post,DE,Hamburg,35-44,Female,164972,1215087,5.5,55232,3183,950,1829,17770,3257
2026-07-24,Instagram,Campaign,Viral Post,Viral post,AT,Graz,35-44,Female,164972,1215087,5.2,58238,2582,1210,1307,11630,2300
2026-07-24,Instagram,Campaign,Viral Post,Viral post,DE,Hamburg,65+,Undisclosed,164972,1215087,5.2,52152,1875,1499,1782,16789,4429
2026-07-24,Instagram,Tour,Tour Announcement,Tour announcement,AT,Graz,45-54,Undisclosed,169515,1315855,5.0,58309,2258,1696,2231,14425,3843
2026-07-24,Instagram,Tour,Tour Announcement,Tour announcement,DE,Munich,35-44,Female,169515,1315855,5.0,63682,3492,1391,1485,18864,4518
2026-07-29,Instagram,Tour,Tour Announcement,Tour announcement,DE,Berlin,65+,Undisclosed,169515,1315855,5.4,71544,3025,1074,2188,15783,2810
2026-07-29,Instagram,Tour,Tour Announcement,Tour announcement,NL,Amsterdam,18-24,Undisclosed,169515,1315855,5.7,54415,2620,1230,2701,15631,3260
2026-07-29,Instagram,Tour,Tour Announcement,Tour announcement,AT,Graz,18-24,Undisclosed,169515,1315855,5.3,62458,3352,1271,1375,12747,3168
2026-07-29,Instagram,Tour,Tour Announcement,Tour announcement,DE,Hamburg,55-64,Undisclosed,169515,1315855,5.5,56145,2459,1127,2205,18175,4592
2026-08-03,Instagram,Tour,Tour Announcement,Tour announcement,DK,Copenhagen,45-54,Undisclosed,169515,1315855,5.1,56183,2972,1637,1185,12383,3326
2026-08-03,Instagram,Tour,Tour Announcement,Tour announcement,DE,Berlin,35-44,Male,169515,1315855,5.4,78665,3821,1478,3351,12287,2500
2026-08-03,Instagram,Tour,Tour Announcement,Tour announcement,DE,Berlin,65+,Male,169515,1315855,5.2,73670,3383,1547,2445,19336,3883
2026-08-03,Instagram,Tour,Tour Announcement,Tour announcement,DE,Cologne,45-54,Undisclosed,169515,1315855,5.4,76959,3692,2079,3217,11253,2704
2026-08-08,Instagram,Tour,Tour Announcement,Tour announcement,DE,Cologne,55-64,Male,169515,1315855,5.2,54741,2820,1072,2084,14451,3662
2026-08-08,Instagram,Tour,Tour Announcement,Tour announcement,DE,Frankfurt,45-54,Female,169515,1315855,5.5,76625,3859,1649,3002,17817,2825
2026-08-08,Instagram,Tour,Tour Announcement,Tour announcement,NL,Amsterdam,65+,Male,169515,1315855,5.3,73716,3832,2159,1790,16123,4308
2026-08-08,Instagram,Tour,Tour Announcement,Tour announcement,DE,Berlin,25-34,Female,169515,1315855,5.2,69613,3066,2035,1459,11940,2596
2026-08-13,Instagram,Tour,Tour Announcement,Tour announcement,DE,Frankfurt,35-44,Male,169515,1315855,5.5,67738,3267,1420,2674,12826,2142
2026-08-13,Instagram,Tour,Tour Announcement,Tour announcement,DK,Copenhagen,25-34,Male,169515,1315855,5.4,76675,2909,2041,3152,12503,3022
2026-08-13,Instagram,Tour,Tour Announcement,Tour announcement,DK,Copenhagen,45-54,Female,169515,1315855,5.1,75078,3476,2138,2504,11335,2859
2026-08-13,Instagram,Tour,Tour Announcement,Tour announcement,DE,Frankfurt,65+,Male,169515,1315855,5.5,67108,2835,1308,1659,17062,4351
2026-08-18,Instagram,Tour,Tour Announcement,Tour announcement,DE,Cologne,35-44,Undisclosed,169515,1315855,5.2,78560,4305,1457,2735,13851,3266
2026-08-18,Instagram,Tour,Tour Announcement,Tour announcement,AT,Graz,55-64,Female,169515,1315855,5.4,54903,2346,1646,2282,15369,4078
2026-08-18,Instagram,Tour,Tour Announcement,Tour announcement,CH,Basel,18-24,Female,169515,1315855,5.7,69538,3216,1752,2109,18613,4970
2026-08-18,Instagram,Tour,Tour Announcement,Tour announcement,NL,Amsterdam,55-64,Female,169515,1315855,5.5,56029,2665,1570,2518,15299,2992
2026-08-23,Instagram,Community,Community Peak,Community peak,DE,Cologne,35-44,Undisclosed,175862,1486562,5.7,74889,3152,1211,1938,21844,4175
2026-08-23,Instagram,Community,Community Peak,Community peak,NL,Amsterdam,35-44,Undisclosed,175862,1486562,5.4,74404,2917,2166,1832,18747,4838
2026-08-23,Instagram,Community,Community Peak,Community peak,CH,Basel,35-44,Undisclosed,175862,1486562,5.1,85143,3152,2488,3672,14646,2660
2026-08-23,Instagram,Community,Community Peak,Community peak,CH,Basel,45-54,Undisclosed,175862,1486562,5.5,74269,3763,1436,3616,16917,4579
2026-08-28,Instagram,Community,Community Peak,Community peak,NL,Amsterdam,45-54,Male,175862,1486562,5.4,79935,3113,1697,2712,15432,2647
2026-08-28,Instagram,Community,Community Peak,Community peak,DK,Copenhagen,35-44,Undisclosed,175862,1486562,5.8,69730,3135,1841,2471,12997,2420
2026-08-28,Instagram,Community,Community Peak,Community peak,DE,Hamburg,35-44,Male,175862,1486562,5.2,62340,2634,1294,2397,14475,4050
2026-08-28,Instagram,Community,Community Peak,Community peak,DE,Cologne,35-44,Undisclosed,175862,1486562,5.6,65106,2538,1949,2213,21040,4725
2026-09-02,Instagram,Community,Community Peak,Community peak,DE,Hamburg,45-54,Undisclosed,175862,1486562,5.4,66619,3303,1047,1894,18110,5006
2026-09-02,Instagram,Community,Community Peak,Community peak,NL,Amsterdam,45-54,Male,175862,1486562,5.5,84649,3874,2390,3540,19841,4065
2026-09-02,Instagram,Community,Community Peak,Community peak,AT,Vienna,18-24,Undisclosed,175862,1486562,5.5,70240,2965,1460,2353,17614,4822
2026-09-02,Instagram,Community,Community Peak,Community peak,CH,Basel,65+,Undisclosed,175862,1486562,5.2,88452,3966,2381,2668,21663,5702
2026-09-07,Instagram,Community,Community Peak,Community peak,DE,Munich,55-64,Undisclosed,175862,1486562,5.4,60659,2182,1559,2676,17296,2980
2026-09-07,Instagram,Community,Community Peak,Community peak,CH,Zurich,25-34,Male,175862,1486562,5.7,68932,3089,1671,3121,18070,4085
